initial_ratio,new_ratio,cv,score,time
0.177978515625,0.31640625,3,0.615,1.3319196701049805
0.177978515625,0.421875,3,0.6,1.3508141040802002
0.177978515625,0.5625,3,0.565,1.6048853397369385
0.177978515625,0.75,3,0.505,1.8399591445922852
0.177978515625,1.0,3,0.47,2.2498629093170166
0.177978515625,0.177978515625,4,0.615,1.0629711151123047
0.177978515625,0.2373046875,4,0.56,1.213254690170288
0.177978515625,0.31640625,4,0.495,1.274451494216919
0.177978515625,0.421875,4,0.49,1.4713809490203857
0.177978515625,0.5625,4,0.49,1.6671841144561768
0.177978515625,0.75,4,0.465,2.202885866165161
0.177978515625,1.0,4,0.465,2.7191784381866455
0.13348388671875,0.13348388671875,0,0.635,1.0127198696136475
0.13348388671875,0.177978515625,0,0.56,1.1281075477600098
0.13348388671875,0.2373046875,0,0.57,1.2402033805847168
0.13348388671875,0.31640625,0,0.55,1.294865369796753
0.13348388671875,0.421875,0,0.52,1.4105234146118164
0.13348388671875,0.5625,0,0.495,1.5994939804077148
0.13348388671875,0.75,0,0.49,2.0391392707824707
0.13348388671875,1.0,0,0.49,2.573223114013672
0.13348388671875,0.13348388671875,1,0.555,1.133718729019165
0.13348388671875,0.177978515625,1,0.545,1.1696114540100098
0.13348388671875,0.2373046875,1,0.545,1.2412817478179932
0.13348388671875,0.31640625,1,0.55,1.3262031078338623
0.13348388671875,0.421875,1,0.53,1.461998701095581
0.13348388671875,0.5625,1,0.52,1.6987988948822021
0.13348388671875,0.75,1,0.515,2.063322067260742
0.13348388671875,1.0,1,0.515,2.001068592071533
0.13348388671875,0.13348388671875,2,0.615,1.0179109573364258
0.13348388671875,0.177978515625,2,0.605,1.0768048763275146
0.13348388671875,0.2373046875,2,0.58,1.2191591262817383
0.13348388671875,0.31640625,2,0.565,1.3815176486968994
0.13348388671875,0.421875,2,0.545,1.4291119575500488
0.13348388671875,0.5625,2,0.51,1.6268393993377686
0.13348388671875,0.75,2,0.52,2.0573525428771973
0.13348388671875,1.0,2,0.52,2.1814568042755127
0.13348388671875,0.13348388671875,3,0.59,1.011613130569458
0.13348388671875,0.177978515625,3,0.595,1.1786248683929443
0.13348388671875,0.2373046875,3,0.6,1.1695456504821777
0.13348388671875,0.31640625,3,0.61,1.3495335578918457
0.13348388671875,0.421875,3,0.56,1.4811162948608398
0.13348388671875,0.5625,3,0.51,1.6956820487976074
0.13348388671875,0.75,3,0.495,1.961707592010498
0.13348388671875,1.0,3,0.495,2.1665236949920654
0.13348388671875,0.13348388671875,4,0.64,1.0339643955230713
0.13348388671875,0.177978515625,4,0.575,1.0707662105560303
0.13348388671875,0.2373046875,4,0.535,1.1783380508422852
0.13348388671875,0.31640625,4,0.5,1.289700984954834
0.13348388671875,0.421875,4,0.475,1.3505713939666748
0.13348388671875,0.5625,4,0.475,1.3687822818756104
0.13348388671875,0.75,4,0.475,1.7683303356170654
0.13348388671875,1.0,4,0.475,2.137342691421509
0.1001129150390625,0.1001129150390625,0,0.595,1.0188121795654297
0.1001129150390625,0.13348388671875,0,0.625,1.1014854907989502
0.1001129150390625,0.177978515625,0,0.625,1.1336545944213867
0.1001129150390625,0.2373046875,0,0.63,1.251389980316162
0.1001129150390625,0.31640625,0,0.585,1.3070182800292969
0.1001129150390625,0.421875,0,0.565,1.5288336277008057
0.1001129150390625,0.5625,0,0.545,1.6930689811706543
0.1001129150390625,0.75,0,0.525,1.874246597290039
0.1001129150390625,1.0,0,0.52,1.9569272994995117
0.1001129150390625,0.1001129150390625,1,0.625,1.0504839420318604
0.1001129150390625,0.13348388671875,1,0.615,1.1551506519317627
