initial_size,new_size,colapse_rate,cv,score,time
1000,5000,0.0,2,0.8196,6.946401357650757
1000,5100,0.0,2,0.8168,7.009340047836304
1000,5200,0.0,2,0.8172,7.367718458175659
1000,5300,0.0,2,0.8148,7.42876935005188
1000,5400,0.0,2,0.8192,7.527576208114624
1000,5500,0.0,2,0.818,7.428015947341919
1000,5600,0.0,2,0.8184,8.28933048248291
1000,5700,0.0,2,0.8252,8.744492053985596
1000,5800,0.0,2,0.8252,8.233508825302124
1000,5900,0.0,2,0.824,8.271987438201904
1000,6000,0.0,2,0.8256,8.072982549667358
1000,6100,0.0,2,0.8224,8.555914163589478
1000,6200,0.0,2,0.8248,8.334346532821655
1000,6300,0.0,2,0.8264,9.356451511383057
1000,6400,0.0,2,0.8276,8.70521330833435
1000,6500,0.0,2,0.8256,8.440320491790771
1000,6600,0.0,2,0.82,8.606642246246338
1000,6700,0.0,2,0.8228,8.79819917678833
1000,6800,0.0,2,0.8224,8.800188779830933
1000,6900,0.0,2,0.8208,9.24651288986206
1000,7000,0.0,2,0.8264,8.983677387237549
1000,7100,0.0,2,0.8188,9.148863315582275
1000,7200,0.0,2,0.8228,9.434274196624756
1000,7300,0.0,2,0.8164,9.573176622390747
1000,7400,0.0,2,0.826,9.449366807937622
1000,7500,0.0,2,0.8176,9.767048835754395
1000,7600,0.0,2,0.822,11.635948419570923
1000,7700,0.0,2,0.824,10.053546667098999
1000,7800,0.0,2,0.8236,10.399902582168579
1000,7900,0.0,2,0.8256,11.24599313735962
1000,8000,0.0,2,0.8208,10.037313461303711
1000,8100,0.0,2,0.8212,10.34981083869934
1000,8200,0.0,2,0.8276,10.201980113983154
