initial_size,new_size,colapse_rate,cv,score,time
50000,56000,0.0,3,0.8449,51.59348487854004
50000,57000,0.0,3,0.84275,54.242106437683105
50000,58000,0.0,3,0.84525,54.214410066604614
50000,59000,0.0,3,0.8447,56.73215365409851
50000,60000,0.0,3,0.84645,66.38999509811401
50000,61000,0.0,3,0.84575,56.623944997787476
50000,62000,0.0,3,0.84705,58.19649910926819
50000,63000,0.0,3,0.84515,70.99027347564697
50000,64000,0.0,3,0.8456,64.4655225276947
50000,65000,0.0,3,0.845,62.14808249473572
50000,66000,0.0,3,0.84615,62.13865613937378
50000,67000,0.0,3,0.8451,67.47124481201172
50000,68000,0.0,3,0.84655,64.7801034450531
50000,69000,0.0,3,0.84675,64.80469727516174
50000,70000,0.0,3,0.84565,67.00701355934143
50000,71000,0.0,3,0.846,66.99559330940247
50000,72000,0.0,3,0.8472,65.01749730110168
50000,73000,0.0,3,0.84575,66.89083480834961
50000,74000,0.0,3,0.8458,69.22445297241211
50000,75000,0.0,3,0.8462,73.10980606079102
50000,76000,0.0,3,0.8461,71.82722687721252
50000,77000,0.0,3,0.84515,87.73279213905334
50000,78000,0.0,3,0.8455,81.96175599098206
50000,79000,0.0,3,0.84855,79.27163124084473
50000,80000,0.0,3,0.84535,72.40625047683716
50000,50000,0.0,4,0.8317,42.70020294189453
50000,51000,0.0,4,0.83335,44.10843300819397
50000,52000,0.0,4,0.8356,46.733314037323
50000,53000,0.0,4,0.83455,47.4072961807251
50000,54000,0.0,4,0.8377,48.13399410247803
50000,55000,0.0,4,0.8347,49.9343695640564
50000,56000,0.0,4,0.8354,59.25873279571533
50000,57000,0.0,4,0.83165,52.13969016075134
50000,58000,0.0,4,0.8361,52.12915563583374
50000,59000,0.0,4,0.83655,53.21995568275452
50000,60000,0.0,4,0.8379,54.646236419677734
50000,61000,0.0,4,0.83625,55.94127678871155
50000,62000,0.0,4,0.84005,67.53070211410522
50000,63000,0.0,4,0.8334,61.801828145980835
50000,64000,0.0,4,0.83445,61.33224606513977
50000,65000,0.0,4,0.8357,61.79440140724182
50000,66000,0.0,4,0.83605,62.871376514434814
50000,67000,0.0,4,0.83535,60.41663384437561
50000,68000,0.0,4,0.8405,68.19464874267578
50000,69000,0.0,4,0.8381,64.1498794555664
50000,70000,0.0,4,0.83645,74.77951622009277
50000,71000,0.0,4,0.83625,77.34168863296509
50000,72000,0.0,4,0.8412,71.60899591445923
50000,73000,0.0,4,0.8352,86.53178906440735
50000,74000,0.0,4,0.83625,75.60429286956787
50000,75000,0.0,4,0.838,77.31335353851318
50000,76000,0.0,4,0.84035,97.41856098175049
50000,77000,0.0,4,0.8374,75.5298957824707
50000,78000,0.0,4,0.8344,75.89145851135254
50000,79000,0.0,4,0.83485,76.05483722686768
50000,80000,0.0,4,0.8346,74.23182845115662
50000,50000,0.1,0,0.8343,49.10542011260986
50000,51000,0.1,0,0.832,46.42130661010742
50000,52000,0.1,0,0.83295,47.9826545715332
50000,53000,0.1,0,0.8336,49.106332778930664
50000,54000,0.1,0,0.8359,53.058393239974976
50000,55000,0.1,0,0.83435,51.62604641914368
