generation,score,collapse_rate,min_df,ngram_range,max_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,time
1,0.8269,0.04213581919361357,"1","(1, 2)",log2,1670,5,3,5,False,416.8701765537262
1,0.8332599999999999,0.04091742078195279,"2","(1, 8)",sqrt,663,42,4,5,True,427.51860189437866
1,0.82524,0.05228844581201459,"2","(1, 2)",sqrt,918,40,10,4,False,438.51719331741333
1,0.83226,0.03829409544826143,"2","(1, 2)",sqrt,918,40,10,4,False,443.0723659992218
1,0.83626,0.052168316680254304,"1","(1, 2)",log2,1670,5,3,5,False,442.6038601398468
1,0.82578,0.05487460830340976,"1","(1, 2)",log2,1670,5,3,5,False,443.6249840259552
1,0.82846,0.06529200634519716,"2","(1, 8)",sqrt,663,42,4,5,True,450.0757179260254
1,0.83172,0.04887864740784867,"2","(1, 8)",sqrt,663,42,4,5,True,451.82501792907715
1,0.8299999999999998,0.05750581121532324,"2","(1, 2)",sqrt,918,40,10,4,False,450.85842633247375
1,0.8312999999999999,0.051461762793436935,"2","(1, 2)",sqrt,918,40,10,4,False,453.5154490470886
1,0.8307400000000001,0.052137747253717094,"2","(1, 2)",sqrt,918,40,10,4,False,456.42494201660156
1,0.8434200000000001,0.056466752448504465,"4","(1, 3)",sqrt,853,60,4,3,True,454.42554807662964
1,0.83962,0.037142093934737455,"4","(1, 3)",sqrt,853,60,4,3,True,460.80890917778015
1,0.83966,0.048087571070133214,"2","(1, 8)",sqrt,663,42,4,5,True,464.28333163261414
1,0.8336,0.03235943953916269,"2","(1, 8)",sqrt,663,42,4,5,True,464.3520107269287
1,0.8317399999999999,0.06931479904887751,"2","(1, 2)",sqrt,918,40,10,4,False,464.8061726093292
1,0.8332799999999999,0.05031111856704683,"2","(1, 2)",sqrt,918,40,10,4,False,466.049578666687
1,0.83402,0.051767293181515905,"2","(1, 2)",sqrt,918,40,10,4,False,475.9963161945343
1,0.83758,0.05419445910306084,"2","(1, 2)",sqrt,918,40,10,4,False,482.6360332965851
1,0.83238,0.06001339163838813,"4","(1, 2)",sqrt,1333,36,2,3,True,484.4137284755707
1,0.8327399999999999,0.05127457552929028,"2","(1, 2)",sqrt,918,40,10,4,False,483.00941157341003
1,0.8363400000000001,0.04441705395450659,"4","(1, 2)",sqrt,1333,36,2,3,True,489.6043109893799
1,0.83314,0.042781391310058606,"4","(1, 2)",sqrt,1333,36,2,3,True,490.9982166290283
1,0.8408000000000001,0.052181344400566085,"2","(1, 8)",sqrt,663,42,4,5,True,491.5476703643799
1,0.8285199999999999,0.04176134196981232,"4","(1, 2)",sqrt,1333,36,2,3,True,496.28425335884094
1,0.8220599999999999,0.056775917322185857,"1","(1, 2)",log2,1670,5,3,5,False,506.9044635295868
1,0.8337199999999999,0.06431461012167664,"4","(1, 2)",sqrt,1333,36,2,3,True,515.4783897399902
1,0.83794,0.052958376394009785,"4","(1, 3)",sqrt,853,60,4,3,True,519.8385756015778
1,0.8372400000000001,0.05511122286060582,"4","(1, 2)",sqrt,1333,36,2,3,True,532.4519867897034
1,0.83956,0.03529836556761255,"4","(1, 2)",sqrt,1333,36,2,3,True,534.2592046260834
1,0.8326399999999999,0.03615786090607008,"2","(1, 4)",sqrt,1192,51,6,12,True,536.9881615638733
1,0.8332599999999999,0.03912503311901799,"4","(1, 2)",sqrt,1333,36,2,3,True,537.9700937271118
1,0.8295,0.0542147097215891,"4","(1, 2)",sqrt,1333,36,2,3,True,538.2661526203156
1,0.83456,0.04030080602063739,"2","(1, 4)",sqrt,1192,51,6,12,True,544.9690330028534
1,0.83392,0.05200876008219355,"4","(1, 2)",sqrt,1333,36,2,3,True,546.2991552352905
1,0.8316399999999999,0.053175619332980234,"2","(1, 4)",sqrt,1192,51,6,12,True,556.2949974536896
1,0.8362,0.04483287628310617,"2","(1, 4)",sqrt,1192,51,6,12,True,556.4006593227386
1,0.8351599999999999,0.038912733901637145,"2","(1, 4)",sqrt,1192,51,6,12,True,557.6520128250122
1,0.8414200000000001,0.04636191392560573,"4","(1, 3)",sqrt,853,60,4,3,True,554.8280322551727
1,0.8337199999999999,0.05019545453921888,"2","(1, 4)",sqrt,1192,51,6,12,True,559.553035736084
1,0.8349399999999999,0.06459058854837008,"2","(1, 4)",sqrt,1192,51,6,12,True,559.760000705719
1,0.8370000000000001,0.049541673918029216,"2","(1, 4)",sqrt,1192,51,6,12,True,560.1135215759277
1,0.8348000000000001,0.055758728919125984,"2","(1, 4)",sqrt,1192,51,6,12,True,562.1623475551605
1,0.84206,0.05888997222926781,"4","(1, 3)",sqrt,853,60,4,3,True,562.8259553909302
1,0.82954,0.0657301328824799,"1","(1, 3)",sqrt,873,45,4,1,False,571.3140394687653
1,0.83368,0.036264439497064656,"1","(1, 3)",sqrt,873,45,4,1,False,578.1632297039032
1,0.83836,0.050325167455512174,"4","(1, 3)",sqrt,853,60,4,3,True,575.6287536621094
1,0.84236,0.06174596461618625,"1","(1, 3)",sqrt,873,45,4,1,False,585.5286161899567
1,0.83598,0.05691940545137916,"2","(1, 4)",sqrt,1192,51,6,12,True,589.2110269069672
1,0.8337,0.07521622712452371,"1","(1, 3)",sqrt,873,45,4,1,False,593.9746842384338
1,0.8436600000000001,0.03227817740518213,"4","(1, 3)",sqrt,853,60,4,3,True,591.0003588199615
1,0.83576,0.05060997202498033,"1","(1, 3)",sqrt,873,45,4,1,False,600.8342435359955
1,0.8260400000000001,0.06828359767704736,"4","(1, 3)",sqrt,853,60,4,3,True,603.209733247757
1,0.82982,0.06763388682011202,"1","(1, 3)",sqrt,873,45,4,1,False,618.444388628006
1,0.84494,0.057269807628844815,"1","(1, 3)",sqrt,873,45,4,1,False,693.1389470100403
1,0.8391400000000001,0.05350521334065721,"1","(1, 3)",sqrt,873,45,4,1,False,736.6598634719849
1,0.84024,0.03611217082678855,"4","(1, 3)",sqrt,853,60,4,3,True,735.4760949611664
1,0.8425600000000001,0.03950340673873286,"1","(1, 3)",sqrt,873,45,4,1,False,812.749208688736
